task_id,shift_id,task_name,floor,required_role,required_skill,required_headcount
TK-B-024-1,SH-B-024,Access control,Floor 3,security,access-control,1
TK-B-025-1,SH-B-025,General upkeep,Floor 4,maintenance,,1
TK-B-026-1,SH-B-026,HVAC check,Floor 1,maintenance,hvac,1
TK-B-027-1,SH-B-027,Electrical inspection,Floor 2,maintenance,electrical,1
TK-G-001-1,SH-G-001,Window cleaning,Floor 1,cleaning,,1
TK-G-001-2,SH-G-001,Waste removal,Floor 2,cleaning,sanitation,1
TK-G-002-1,SH-G-002,Waste removal,Floor 2,cleaning,sanitation,1
TK-G-002-2,SH-G-002,Lobby cleaning,Floor 1,cleaning,mopping,1
TK-G-003-1,SH-G-003,Lobby cleaning,Floor 1,cleaning,mopping,1
TK-G-003-2,SH-G-003,Restroom sanitation,Floor 2,cleaning,,1
TK-G-004-1,SH-G-004,Restroom sanitation,Floor 2,cleaning,,1
TK-G-004-2,SH-G-004,Window cleaning,Floor 1,cleaning,windows,1
TK-G-005-1,SH-G-005,Window cleaning,Floor 1,cleaning,windows,1
TK-G-005-2,SH-G-005,Waste removal,Floor 2,cleaning,sanitation,1
TK-G-006-1,SH-G-006,Waste removal,Floor 2,cleaning,sanitation,1
TK-G-006-2,SH-G-006,Lobby cleaning,Floor 1,cleaning,,1
TK-G-007-1,SH-G-007,Lobby cleaning,Floor 1,cleaning,,1
TK-G-007-2,SH-G-007,Restroom sanitation,Floor 2,cleaning,waste,1
TK-G-008-1,SH-G-008,Restroom sanitation,Floor 2,cleaning,waste,1
TK-G-008-2,SH-G-008,Window cleaning,Floor 1,cleaning,windows,1
TK-G-009-1,SH-G-009,Window cleaning,Floor 1,cleaning,windows,1
TK-G-009-2,SH-G-009,Waste removal,Floor 2,cleaning,,1
TK-G-010-1,SH-G-010,Waste removal,Floor 2,cleaning,,1
TK-G-010-2,SH-G-010,Lobby cleaning,Floor 1,cleaning,mopping,1
TK-G-011-1,SH-G-011,Lobby cleaning,Floor 1,cleaning,mopping,1
TK-G-012-1,SH-G-012,Restroom sanitation,Floor 2,cleaning,waste,1
TK-G-013-1,SH-G-013,Access control,Floor 1,security,,1
TK-G-014-1,SH-G-014,Incident response,Floor 2,security,incident,1
TK-G-015-1,SH-G-015,Perimeter patrol,Floor 1,security,patrol,1
TK-G-016-1,SH-G-016,CCTV monitoring,Floor 2,security,,1
TK-G-017-1,SH-G-017,Access control,Floor 1,security,access-control,1
TK-G-018-1,SH-G-018,Incident response,Floor 2,security,incident,1
TK-G-019-1,SH-G-019,Perimeter patrol,Floor 1,security,,1
TK-G-020-1,SH-G-020,CCTV monitoring,Floor 2,security,cctv,1
TK-G-021-1,SH-G-021,Access control,Floor 1,security,access-control,1
TK-G-022-1,SH-G-022,Incident response,Floor 2,security,,1
TK-G-023-1,SH-G-023,Perimeter patrol,Floor 1,security,patrol,1
TK-G-024-1,SH-G-024,CCTV monitoring,Floor 2,security,cctv,1
TK-G-025-1,SH-G-025,Plumbing check,Floor 1,maintenance,,1
TK-G-026-1,SH-G-026,General upkeep,Floor 2,maintenance,general,1
TK-G-027-1,SH-G-027,HVAC check,Floor 1,maintenance,hvac,1
